标本ID,日期,星期,采集时间,采集时段,来源科室/采血点,患者类型,标本类型,检验专业组,检验项目数,签收时间,前处理开始,前处理完成,前处理状态,前处理报错类型,前处理耗时_分钟,上机时间,报告时间,TAT_分钟,目标TAT_分钟,是否超时,前处理工位,仪器编号,操作人
S0805-00736,2026-08-05,周三,07:05,07-10 早高峰,门诊采血中心,门诊,血浆,免疫,2,07:26,07:29,07:47,正常,,18,07:55,08:32,87,120,否,前处理-B线,MICRO-01,OP-108
S0805-00737,2026-08-05,周三,07:00,07-10 早高峰,消化科病区,住院,血清,免疫,10,07:20,07:21,07:41,正常,,20,07:43,08:35,95,120,否,前处理-B线,IMM-01,OP-103
S0805-00738,2026-08-05,周三,11:51,10-12,消化科病区,住院,全血,血液,5,12:14,12:16,12:26,正常,,10,12:30,12:50,59,120,否,前处理-手工台,BIO-01,OP-106
S0805-00739,2026-08-05,周三,09:11,07-10 早高峰,儿科门诊采血窗口,门诊,血清,微生物,5,09:21,09:25,10:12,报错,样本量不足,47,10:20,14:27,316,120,是,前处理-B线,BIO-02,OP-101
S0805-00740,2026-08-05,周三,07:46,07-10 早高峰,ICU,住院,全血,生化,4,08:11,08:15,08:42,正常,,27,08:48,09:08,82,90,否,前处理-A线,HEM-02,OP-107
S0805-00741,2026-08-05,周三,14:10,14-17,急诊采血,急诊,血清,血液,2,14:22,14:27,14:33,正常,,6,14:38,15:32,82,60,是,前处理-A线,IMM-01,OP-108
S0805-00742,2026-08-05,周三,14:36,14-17,急诊采血,急诊,血清,生化,12,14:58,15:01,15:05,正常,,4,15:07,15:40,64,60,是,前处理-B线,HEM-02,OP-108
S0805-00743,2026-08-05,周三,09:01,07-10 早高峰,急诊采血,急诊,血清,生化,12,09:21,09:24,09:44,正常,,20,09:49,10:37,96,60,是,前处理-A线,HEM-01,OP-101
S0805-00744,2026-08-05,周三,15:48,14-17,消化科病区,住院,全血,生化,18,16:39,16:43,16:48,正常,,5,16:55,17:37,109,120,否,前处理-手工台,BIO-01,OP-108
S0805-00745,2026-08-05,周三,08:53,07-10 早高峰,内分泌科病区,住院,尿液,生化,14,09:30,09:36,09:54,正常,,18,10:00,10:36,103,120,否,前处理-A线,HEM-02,OP-105
S0805-00746,2026-08-05,周三,09:08,07-10 早高峰,内分泌科病区,住院,全血,生化,1,09:31,09:33,09:59,正常,,26,10:06,10:54,106,120,否,前处理-B线,COAG-01,OP-106
S0805-00747,2026-08-05,周三,13:55,12-14,门诊采血中心,门诊,血清,生化,10,14:06,14:12,14:20,正常,,8,14:24,14:49,54,120,否,前处理-A线,BIO-01,OP-101
S0805-00748,2026-08-05,周三,19:40,17-20,体检中心,体检,全血,免疫,8,20:01,20:06,20:12,正常,,6,20:14,21:02,82,240,否,前处理-B线,HEM-01,OP-104
S0805-00749,2026-08-05,周三,08:52,07-10 早高峰,急诊采血,急诊,血清,微生物,2,09:04,09:06,09:29,正常,,23,09:32,13:10,258,60,是,前处理-手工台,BIO-01,OP-103
S0805-00750,2026-08-05,周三,16:31,14-17,儿科门诊采血窗口,门诊,尿液,微生物,2,16:52,16:58,17:06,正常,,8,17:10,19:43,192,120,是,前处理-B线,HEM-02,OP-102
S0806-00751,2026-08-06,周四,16:32,14-17,儿科门诊采血窗口,门诊,血清,微生物,2,16:42,16:48,16:58,正常,,10,17:00,19:16,164,120,是,前处理-A线,HEM-01,OP-104
S0806-00752,2026-08-06,周四,11:56,10-12,儿科门诊采血窗口,门诊,血清,血液,6,12:18,12:23,12:32,正常,,9,12:34,12:58,62,120,否,前处理-B线,HEM-02,OP-108
S0806-00753,2026-08-06,周四,15:50,14-17,体检中心,体检,全血,血液,5,16:07,16:10,16:19,正常,,9,16:26,16:52,62,240,否,前处理-B线,IMM-01,OP-104
S0806-00754,2026-08-06,周四,11:48,10-12,体检中心,体检,血清,生化,11,12:00,12:04,12:13,正常,,9,12:21,13:11,83,240,否,前处理-B线,HEM-02,OP-104
S0806-00755,2026-08-06,周四,11:46,10-12,呼吸科病区,住院,血清,微生物,2,12:37,12:41,12:46,正常,,5,12:50,15:08,202,120,是,前处理-手工台,BIO-02,OP-101
S0806-00756,2026-08-06,周四,07:57,07-10 早高峰,心内科病区,住院,全血,生化,8,08:39,08:42,09:08,正常,,26,09:15,09:52,115,120,否,前处理-手工台,IMM-02,OP-103
S0806-00757,2026-08-06,周四,11:36,10-12,消化科病区,住院,全血,生化,18,12:21,12:23,12:28,正常,,5,12:32,13:18,102,120,否,前处理-手工台,COAG-01,OP-108
S0806-00758,2026-08-06,周四,07:48,07-10 早高峰,消化科病区,住院,血清,生化,7,08:16,08:19,08:39,正常,,20,08:41,09:07,79,120,否,前处理-A线,IMM-02,OP-101
S0806-00759,2026-08-06,周四,07:16,07-10 早高峰,儿科门诊采血窗口,门诊,尿液,免疫,6,07:25,07:27,07:42,正常,,15,07:45,08:33,77,120,否,前处理-A线,BIO-01,OP-102
S0806-00760,2026-08-06,周四,09:34,07-10 早高峰,门诊采血中心,门诊,血清,血液,5,09:48,09:54,10:20,正常,,26,10:25,10:47,73,120,否,前处理-A线,BIO-01,OP-106
S0806-00761,2026-08-06,周四,09:37,07-10 早高峰,门诊采血中心,门诊,血浆,生化,15,09:49,09:53,10:20,正常,,27,10:25,10:55,78,120,否,前处理-B线,IMM-02,OP-102
S0806-00762,2026-08-06,周四,08:43,07-10 早高峰,门诊采血中心,门诊,全血,微生物,5,08:53,08:55,09:19,正常,,24,09:27,14:04,321,120,是,前处理-A线,HEM-01,OP-108
S0806-00763,2026-08-06,周四,07:33,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,11,07:53,07:55,08:45,报错,溶血,50,08:47,09:39,126,120,是,前处理-手工台,IMM-01,OP-108
S0806-00764,2026-08-06,周四,14:46,14-17,门诊采血中心,门诊,血清,免疫,9,15:06,15:11,15:17,正常,,6,15:20,16:03,77,120,否,前处理-手工台,MICRO-01,OP-101
S0806-00765,2026-08-06,周四,13:26,12-14,急诊采血,急诊,血清,生化,6,13:49,13:54,14:02,正常,,8,14:06,14:38,72,60,是,前处理-A线,IMM-02,OP-101
S0806-00766,2026-08-06,周四,11:45,10-12,呼吸科病区,住院,全血,血液,4,12:28,12:33,12:43,正常,,10,12:45,13:19,94,120,否,前处理-A线,BIO-02,OP-106
S0806-00767,2026-08-06,周四,08:49,07-10 早高峰,门诊采血中心,门诊,血清,凝血,1,09:05,09:11,09:57,报错,样本量不足,46,10:03,10:34,105,120,否,前处理-B线,BIO-01,OP-107
S0806-00768,2026-08-06,周四,11:13,10-12,儿科门诊采血窗口,门诊,全血,血液,6,11:24,11:29,11:33,正常,,4,11:36,11:56,43,120,否,前处理-A线,HEM-01,OP-104
S0806-00769,2026-08-06,周四,14:09,14-17,急诊采血,急诊,血清,凝血,3,14:24,14:26,14:31,正常,,5,14:37,15:26,77,60,是,前处理-B线,IMM-02,OP-106
S0806-00770,2026-08-06,周四,09:44,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,12,09:57,10:01,10:24,正常,,23,10:26,10:51,67,120,否,前处理-B线,BIO-02,OP-103
S0806-00771,2026-08-06,周四,16:51,14-17,呼吸科病区,住院,血清,血液,2,17:22,17:27,17:36,正常,,9,17:42,18:25,94,120,否,前处理-手工台,IMM-02,OP-102
S0806-00772,2026-08-06,周四,15:20,14-17,体检中心,体检,血清,免疫,6,15:31,15:32,15:42,正常,,10,15:48,16:30,70,240,否,前处理-B线,BIO-01,OP-101
S0806-00773,2026-08-06,周四,07:02,07-10 早高峰,儿科门诊采血窗口,门诊,其他,凝血,5,07:26,07:29,07:52,正常,,23,07:58,08:30,88,120,否,前处理-B线,COAG-01,OP-108
S0806-00774,2026-08-06,周四,08:03,07-10 早高峰,门诊采血中心,门诊,全血,血液,2,08:18,08:19,08:42,正常,,23,08:48,09:17,74,120,否,前处理-B线,COAG-01,OP-107
S0806-00775,2026-08-06,周四,08:31,07-10 早高峰,儿科门诊采血窗口,门诊,全血,免疫,14,08:42,08:47,09:26,报错,条码识别失败,39,09:28,10:19,108,120,否,前处理-手工台,IMM-01,OP-103
S0806-00776,2026-08-06,周四,07:45,07-10 早高峰,ICU,住院,其他,免疫,15,08:24,08:30,08:50,正常,,20,08:57,09:32,107,90,是,前处理-A线,BIO-01,OP-102
S0806-00777,2026-08-06,周四,09:15,07-10 早高峰,内分泌科病区,住院,血清,生化,18,09:39,09:40,09:59,正常,,19,10:05,10:32,77,120,否,前处理-手工台,COAG-01,OP-101
S0806-00778,2026-08-06,周四,09:23,07-10 早高峰,心内科病区,住院,血浆,免疫,11,10:17,10:21,10:45,正常,,24,10:52,11:12,109,120,否,前处理-B线,IMM-01,OP-106
S0806-00779,2026-08-06,周四,07:33,07-10 早高峰,消化科病区,住院,全血,微生物,4,08:23,08:28,08:48,正常,,20,08:53,12:57,324,120,是,前处理-B线,IMM-02,OP-107
S0806-00780,2026-08-06,周四,14:05,14-17,内分泌科病区,住院,血清,生化,15,14:56,15:01,15:07,正常,,6,15:14,15:57,112,120,否,前处理-手工台,IMM-02,OP-105
S0806-00781,2026-08-06,周四,08:35,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,8,08:46,08:52,09:12,正常,,20,09:16,10:07,92,120,否,前处理-A线,IMM-02,OP-103
S0806-00782,2026-08-06,周四,09:21,07-10 早高峰,门诊采血中心,门诊,尿液,生化,3,09:29,09:30,09:46,正常,,16,09:48,10:14,53,120,否,前处理-B线,IMM-02,OP-107
S0806-00783,2026-08-06,周四,08:33,07-10 早高峰,呼吸科病区,住院,血清,免疫,3,09:24,09:30,09:56,正常,,26,10:03,10:29,116,120,否,前处理-手工台,BIO-02,OP-105
S0806-00784,2026-08-06,周四,10:29,10-12,门诊采血中心,门诊,血浆,微生物,6,10:43,10:47,10:53,正常,,6,10:55,14:52,263,120,是,前处理-A线,HEM-01,OP-101
S0806-00785,2026-08-06,周四,08:16,07-10 早高峰,急诊采血,急诊,血清,免疫,12,08:31,08:35,08:55,正常,,20,09:03,09:26,70,60,是,前处理-手工台,IMM-02,OP-104
S0806-00786,2026-08-06,周四,10:42,10-12,肾内科病区,住院,其他,免疫,7,11:27,11:31,11:41,正常,,10,11:44,12:10,88,120,否,前处理-手工台,IMM-01,OP-102
S0806-00787,2026-08-06,周四,17:24,17-20,急诊采血,急诊,血浆,血液,5,17:34,17:40,17:49,正常,,9,17:52,18:36,72,60,是,前处理-B线,BIO-02,OP-105
S0806-00788,2026-08-06,周四,07:07,07-10 早高峰,呼吸科病区,住院,尿液,凝血,4,07:45,07:50,08:09,正常,,19,08:11,08:48,101,120,否,前处理-A线,MICRO-01,OP-105
S0806-00789,2026-08-06,周四,08:25,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,18,08:50,08:55,09:12,正常,,17,09:15,10:10,105,120,否,前处理-手工台,IMM-01,OP-101
S0806-00790,2026-08-06,周四,13:44,12-14,儿科门诊采血窗口,门诊,全血,生化,8,14:07,14:10,14:20,正常,,10,14:27,14:49,65,120,否,前处理-手工台,IMM-01,OP-108
S0806-00791,2026-08-06,周四,14:58,14-17,肾内科病区,住院,血清,生化,1,15:36,15:37,15:47,正常,,10,15:54,16:39,101,120,否,前处理-手工台,BIO-02,OP-108
S0806-00792,2026-08-06,周四,09:35,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,5,09:58,10:02,10:26,正常,,24,10:31,11:11,96,120,否,前处理-手工台,BIO-02,OP-108
S0806-00793,2026-08-06,周四,09:06,07-10 早高峰,门诊采血中心,门诊,血清,血液,6,09:30,09:33,09:49,正常,,16,09:55,10:46,100,120,否,前处理-A线,COAG-01,OP-101
S0806-00794,2026-08-06,周四,09:14,07-10 早高峰,门诊采血中心,门诊,血清,血液,1,09:33,09:36,09:48,正常,,12,09:54,10:31,77,120,否,前处理-A线,COAG-01,OP-104
S0806-00795,2026-08-06,周四,09:54,07-10 早高峰,肾内科病区,住院,血清,生化,6,10:25,10:31,10:47,正常,,16,10:52,11:13,79,120,否,前处理-A线,HEM-02,OP-107
S0806-00796,2026-08-06,周四,08:51,07-10 早高峰,肾内科病区,住院,血清,免疫,14,09:33,09:39,10:05,正常,,26,10:07,10:51,120,120,否,前处理-B线,BIO-02,OP-106
S0806-00797,2026-08-06,周四,11:11,10-12,门诊采血中心,门诊,血清,血液,5,11:34,11:35,11:44,正常,,9,11:47,12:30,79,120,否,前处理-手工台,HEM-01,OP-105
S0806-00798,2026-08-06,周四,08:01,07-10 早高峰,体检中心,体检,尿液,微生物,5,08:24,08:27,08:53,正常,,26,09:00,11:26,205,240,否,前处理-B线,IMM-02,OP-101
S0806-00799,2026-08-06,周四,14:37,14-17,门诊采血中心,门诊,血清,血液,2,15:02,15:03,15:11,正常,,8,15:15,16:10,93,120,否,前处理-手工台,HEM-01,OP-104
S0806-00800,2026-08-06,周四,13:48,12-14,门诊采血中心,门诊,全血,生化,7,14:09,14:12,14:22,正常,,10,14:28,14:51,63,120,否,前处理-A线,IMM-02,OP-108
S0806-00801,2026-08-06,周四,08:30,07-10 早高峰,消化科病区,住院,血清,生化,4,09:01,09:07,09:23,正常,,16,09:27,09:54,84,120,否,前处理-B线,MICRO-01,OP-102
S0806-00802,2026-08-06,周四,14:40,14-17,心内科病区,住院,血浆,生化,3,15:28,15:34,15:38,正常,,4,15:44,16:13,93,120,否,前处理-手工台,IMM-01,OP-103
S0806-00803,2026-08-06,周四,11:44,10-12,儿科门诊采血窗口,门诊,全血,血液,3,12:09,12:14,12:20,正常,,6,12:23,13:03,79,120,否,前处理-A线,BIO-02,OP-106
S0806-00804,2026-08-06,周四,13:19,12-14,门诊采血中心,门诊,血清,生化,2,13:38,13:39,13:48,正常,,9,13:50,14:18,59,120,否,前处理-A线,MICRO-01,OP-107
S0806-00805,2026-08-06,周四,11:21,10-12,门诊采血中心,门诊,全血,微生物,3,11:31,11:32,11:42,正常,,10,11:48,15:15,234,120,是,前处理-手工台,IMM-01,OP-101
S0806-00806,2026-08-06,周四,11:43,10-12,急诊采血,急诊,血清,凝血,6,12:08,12:09,12:13,正常,,4,12:15,12:54,71,60,是,前处理-A线,BIO-02,OP-101
S0806-00807,2026-08-06,周四,09:52,07-10 早高峰,门诊采血中心,门诊,全血,血液,4,10:13,10:19,10:40,正常,,21,10:46,11:41,109,120,否,前处理-手工台,IMM-01,OP-108
S0806-00808,2026-08-06,周四,08:19,07-10 早高峰,肾内科病区,住院,其他,血液,2,08:58,09:04,09:19,正常,,15,09:26,09:56,97,120,否,前处理-手工台,BIO-01,OP-103
S0806-00809,2026-08-06,周四,13:46,12-14,门诊采血中心,门诊,血清,生化,1,14:11,14:14,14:19,正常,,5,14:25,15:16,90,120,否,前处理-B线,COAG-01,OP-101
S0806-00810,2026-08-06,周四,08:36,07-10 早高峰,门诊采血中心,门诊,血清,凝血,3,09:00,09:02,09:25,正常,,23,09:29,10:00,84,120,否,前处理-A线,IMM-02,OP-103
S0806-00811,2026-08-06,周四,14:59,14-17,儿科门诊采血窗口,门诊,全血,血液,4,15:09,15:15,15:24,正常,,9,15:28,15:51,52,120,否,前处理-B线,HEM-01,OP-103
S0806-00812,2026-08-06,周四,15:13,14-17,肾内科病区,住院,血清,血液,3,15:38,15:44,15:53,正常,,9,16:01,16:43,90,120,否,前处理-A线,IMM-01,OP-106
S0806-00813,2026-08-06,周四,08:08,07-10 早高峰,门诊采血中心,门诊,血清,血液,4,08:29,08:30,08:59,正常,,29,09:02,09:50,102,120,否,前处理-手工台,HEM-01,OP-106
S0806-00814,2026-08-06,周四,17:53,17-20,体检中心,体检,尿液,免疫,2,18:10,18:15,18:21,正常,,6,18:29,19:20,87,240,否,前处理-B线,HEM-01,OP-107
S0806-00815,2026-08-06,周四,11:24,10-12,消化科病区,住院,血清,微生物,3,12:06,12:12,12:22,正常,,10,12:29,15:39,255,120,是,前处理-B线,HEM-01,OP-103
S0806-00816,2026-08-06,周四,09:51,07-10 早高峰,消化科病区,住院,血清,免疫,10,10:30,10:31,10:51,正常,,20,10:53,11:44,113,120,否,前处理-B线,HEM-01,OP-108
S0806-00817,2026-08-06,周四,19:36,17-20,门诊采血中心,门诊,血清,生化,5,19:51,19:54,19:59,正常,,5,20:02,20:42,66,120,否,前处理-B线,COAG-01,OP-108
S0806-00818,2026-08-06,周四,09:15,07-10 早高峰,门诊采血中心,门诊,血清,生化,16,09:33,09:38,09:59,正常,,21,10:05,10:30,75,120,否,前处理-A线,BIO-02,OP-107
S0806-00819,2026-08-06,周四,09:10,07-10 早高峰,门诊采血中心,门诊,血浆,生化,9,09:26,09:27,09:49,正常,,22,09:53,10:22,72,120,否,前处理-B线,COAG-01,OP-107
S0806-00820,2026-08-06,周四,15:27,14-17,内分泌科病区,住院,全血,免疫,15,16:12,16:18,16:22,正常,,4,16:30,17:06,99,120,否,前处理-A线,HEM-02,OP-107
S0806-00821,2026-08-06,周四,10:45,10-12,肾内科病区,住院,全血,生化,11,11:21,11:22,11:50,报错,溶血,28,11:55,12:20,95,120,否,前处理-A线,IMM-01,OP-102
S0806-00822,2026-08-06,周四,08:14,07-10 早高峰,呼吸科病区,住院,全血,生化,16,08:49,08:53,09:13,正常,,20,09:21,10:16,122,120,是,前处理-A线,IMM-01,OP-107
S0806-00823,2026-08-06,周四,14:30,14-17,儿科门诊采血窗口,门诊,血清,免疫,12,14:54,14:56,15:01,正常,,5,15:03,15:52,82,120,否,前处理-A线,BIO-02,OP-102
S0806-00824,2026-08-06,周四,12:50,12-14,门诊采血中心,门诊,血清,免疫,6,13:01,13:07,13:13,正常,,6,13:17,13:59,69,120,否,前处理-A线,HEM-01,OP-107
S0806-00825,2026-08-06,周四,11:12,10-12,儿科门诊采血窗口,门诊,血清,免疫,17,11:27,11:28,11:36,正常,,8,11:38,12:09,57,120,否,前处理-A线,COAG-01,OP-103
S0806-00826,2026-08-06,周四,19:05,17-20,ICU,住院,血浆,免疫,5,19:45,19:50,20:18,报错,离心异常,28,20:22,20:43,98,90,是,前处理-B线,COAG-01,OP-103
S0806-00827,2026-08-06,周四,19:33,17-20,心内科病区,住院,全血,生化,2,20:17,20:19,20:25,正常,,6,20:27,21:09,96,120,否,前处理-A线,BIO-02,OP-105
S0806-00828,2026-08-06,周四,14:57,14-17,急诊采血,急诊,血浆,生化,7,15:13,15:16,15:24,正常,,8,15:27,16:03,66,60,是,前处理-A线,BIO-01,OP-102
S0806-00829,2026-08-06,周四,14:43,14-17,门诊采血中心,门诊,血清,凝血,6,14:51,14:56,15:04,正常,,8,15:06,15:42,59,120,否,前处理-B线,HEM-02,OP-105
S0806-00830,2026-08-06,周四,08:57,07-10 早高峰,门诊采血中心,门诊,全血,免疫,2,09:16,09:18,09:42,正常,,24,09:46,10:29,92,120,否,前处理-A线,HEM-02,OP-103
S0806-00831,2026-08-06,周四,09:40,07-10 早高峰,体检中心,体检,血清,血液,6,09:49,09:51,10:05,正常,,14,10:11,10:56,76,240,否,前处理-B线,BIO-01,OP-101
S0806-00832,2026-08-06,周四,19:28,17-20,ICU,住院,血清,生化,9,20:04,20:08,20:13,正常,,5,20:21,21:16,108,90,是,前处理-B线,COAG-01,OP-105
S0806-00833,2026-08-06,周四,09:50,07-10 早高峰,急诊采血,急诊,血清,生化,16,10:14,10:19,10:40,正常,,21,10:45,11:26,96,60,是,前处理-A线,IMM-01,OP-105
S0806-00834,2026-08-06,周四,09:55,07-10 早高峰,儿科门诊采血窗口,门诊,全血,血液,3,10:06,10:09,10:26,正常,,17,10:34,11:00,65,120,否,前处理-A线,HEM-02,OP-103
S0806-00835,2026-08-06,周四,09:31,07-10 早高峰,门诊采血中心,门诊,血清,生化,16,09:47,09:50,10:11,正常,,21,10:19,11:05,94,120,否,前处理-手工台,HEM-01,OP-108
S0806-00836,2026-08-06,周四,16:19,14-17,ICU,住院,全血,免疫,11,16:55,16:59,17:07,正常,,8,17:13,18:01,102,90,是,前处理-A线,IMM-01,OP-103
S0806-00837,2026-08-06,周四,09:13,07-10 早高峰,消化科病区,住院,血清,血液,6,09:55,09:56,10:20,正常,,24,10:27,11:14,121,120,是,前处理-A线,IMM-02,OP-108
S0806-00838,2026-08-06,周四,11:01,10-12,门诊采血中心,门诊,血清,生化,5,11:09,11:10,11:20,正常,,10,11:28,12:14,73,120,否,前处理-手工台,COAG-01,OP-104
S0806-00839,2026-08-06,周四,09:11,07-10 早高峰,体检中心,体检,血清,生化,9,09:20,09:24,09:47,正常,,23,09:49,10:40,89,240,否,前处理-A线,BIO-02,OP-102
S0806-00840,2026-08-06,周四,12:39,12-14,门诊采血中心,门诊,血清,免疫,2,12:47,12:49,12:59,正常,,10,13:07,13:46,67,120,否,前处理-B线,IMM-01,OP-105
S0806-00841,2026-08-06,周四,11:15,10-12,肾内科病区,住院,血清,免疫,16,11:52,11:55,12:05,正常,,10,12:09,12:50,95,120,否,前处理-B线,BIO-01,OP-103
S0806-00842,2026-08-06,周四,13:23,12-14,儿科门诊采血窗口,门诊,全血,生化,17,13:41,13:42,13:47,正常,,5,13:49,14:29,66,120,否,前处理-B线,IMM-02,OP-106
S0806-00843,2026-08-06,周四,14:27,14-17,心内科病区,住院,尿液,凝血,2,15:07,15:11,15:20,正常,,9,15:23,16:00,93,120,否,前处理-B线,HEM-02,OP-108
S0806-00844,2026-08-06,周四,09:34,07-10 早高峰,急诊采血,急诊,血清,血液,1,09:52,09:55,10:15,正常,,20,10:21,10:54,80,60,是,前处理-B线,MICRO-01,OP-103
S0806-00845,2026-08-06,周四,08:11,07-10 早高峰,儿科门诊采血窗口,门诊,全血,免疫,4,08:36,08:42,09:33,报错,条码识别失败,51,09:40,10:20,129,120,是,前处理-手工台,BIO-01,OP-107
S0806-00846,2026-08-06,周四,11:46,10-12,心内科病区,住院,尿液,凝血,3,12:28,12:32,12:41,正常,,9,12:44,13:18,92,120,否,前处理-手工台,IMM-01,OP-104
S0806-00847,2026-08-06,周四,12:00,12-14,ICU,住院,血清,免疫,1,12:32,12:38,12:47,正常,,9,12:55,13:17,77,90,否,前处理-B线,HEM-01,OP-101
S0806-00848,2026-08-06,周四,11:48,10-12,心内科病区,住院,全血,凝血,4,12:35,12:37,12:43,正常,,6,12:46,13:24,96,120,否,前处理-手工台,IMM-02,OP-101
S0806-00849,2026-08-06,周四,17:22,17-20,儿科门诊采血窗口,门诊,血清,生化,17,17:33,17:39,17:44,正常,,5,17:52,18:28,66,120,否,前处理-手工台,BIO-01,OP-103
S0806-00850,2026-08-06,周四,07:16,07-10 早高峰,体检中心,体检,血清,凝血,6,07:33,07:37,07:50,正常,,13,07:55,08:39,83,240,否,前处理-A线,HEM-02,OP-103
S0806-00851,2026-08-06,周四,10:17,10-12,内分泌科病区,住院,血浆,凝血,6,10:41,10:47,10:57,正常,,10,10:59,11:19,62,120,否,前处理-手工台,IMM-01,OP-103
S0806-00852,2026-08-06,周四,08:49,07-10 早高峰,急诊采血,急诊,全血,血液,6,09:13,09:16,09:33,正常,,17,09:40,10:15,86,60,是,前处理-手工台,HEM-02,OP-101
S0806-00853,2026-08-06,周四,07:38,07-10 早高峰,儿科门诊采血窗口,门诊,尿液,生化,4,07:52,07:55,08:31,报错,样本量不足,36,08:33,09:20,102,120,否,前处理-B线,IMM-02,OP-106
S0806-00854,2026-08-06,周四,10:44,10-12,急诊采血,急诊,血浆,免疫,13,10:56,10:57,11:01,正常,,4,11:05,11:38,54,60,否,前处理-A线,IMM-02,OP-106
S0806-00855,2026-08-06,周四,09:14,07-10 早高峰,心内科病区,住院,血清,免疫,8,09:39,09:42,10:05,正常,,23,10:10,10:53,99,120,否,前处理-手工台,IMM-01,OP-104
S0806-00856,2026-08-06,周四,09:14,07-10 早高峰,ICU,住院,全血,凝血,3,09:48,09:50,10:07,正常,,17,10:14,11:09,115,90,是,前处理-手工台,IMM-01,OP-104
S0806-00857,2026-08-06,周四,11:58,10-12,门诊采血中心,门诊,全血,生化,15,12:08,12:10,12:16,正常,,6,12:24,12:54,56,120,否,前处理-B线,BIO-02,OP-104
S0806-00858,2026-08-06,周四,09:12,07-10 早高峰,儿科门诊采血窗口,门诊,尿液,血液,5,09:37,09:40,10:08,正常,,28,10:11,10:46,94,120,否,前处理-手工台,IMM-02,OP-101
S0806-00859,2026-08-06,周四,16:56,14-17,门诊采血中心,门诊,血清,微生物,4,17:20,17:23,17:33,正常,,10,17:40,22:40,344,120,是,前处理-B线,BIO-02,OP-105
S0806-00860,2026-08-06,周四,14:33,14-17,门诊采血中心,门诊,其他,免疫,2,14:54,14:56,15:02,正常,,6,15:04,15:53,80,120,否,前处理-手工台,IMM-01,OP-101
S0806-00861,2026-08-06,周四,08:28,07-10 早高峰,内分泌科病区,住院,血清,生化,4,09:11,09:16,09:34,正常,,18,09:39,10:08,100,120,否,前处理-手工台,BIO-01,OP-102
S0806-00862,2026-08-06,周四,07:11,07-10 早高峰,ICU,住院,尿液,生化,12,07:43,07:44,08:09,正常,,25,08:11,08:43,92,90,是,前处理-手工台,MICRO-01,OP-105
S0806-00863,2026-08-06,周四,09:44,07-10 早高峰,儿科门诊采血窗口,门诊,血清,生化,18,10:05,10:11,10:34,正常,,23,10:39,11:24,100,120,否,前处理-A线,HEM-02,OP-108
S0806-00864,2026-08-06,周四,10:23,10-12,门诊采血中心,门诊,血清,生化,13,10:44,10:48,10:55,正常,,7,10:58,11:51,88,120,否,前处理-手工台,BIO-02,OP-106
S0806-00865,2026-08-06,周四,08:01,07-10 早高峰,心内科病区,住院,全血,血液,2,08:55,09:01,09:22,正常,,21,09:25,10:16,135,120,是,前处理-A线,IMM-02,OP-104
S0806-00866,2026-08-06,周四,10:02,10-12,门诊采血中心,门诊,其他,生化,5,10:19,10:20,10:24,正常,,4,10:27,11:16,74,120,否,前处理-手工台,IMM-01,OP-107
S0806-00867,2026-08-06,周四,14:00,14-17,ICU,住院,尿液,生化,4,14:45,14:46,14:51,正常,,5,14:54,15:42,102,90,是,前处理-手工台,IMM-02,OP-103
S0806-00868,2026-08-06,周四,09:55,07-10 早高峰,肾内科病区,住院,血清,血液,3,10:45,10:49,11:09,正常,,20,11:13,11:38,103,120,否,前处理-手工台,HEM-01,OP-105
S0806-00869,2026-08-06,周四,17:58,17-20,呼吸科病区,住院,血清,生化,11,18:23,18:26,18:32,正常,,6,18:40,19:31,93,120,否,前处理-A线,HEM-01,OP-104
S0806-00870,2026-08-06,周四,10:47,10-12,门诊采血中心,门诊,血清,血液,2,11:05,11:07,11:17,正常,,10,11:20,11:42,55,120,否,前处理-A线,MICRO-01,OP-105
S0806-00871,2026-08-06,周四,08:52,07-10 早高峰,心内科病区,住院,血清,微生物,1,09:15,09:20,09:36,正常,,16,09:43,12:05,193,120,是,前处理-A线,HEM-01,OP-105
S0806-00872,2026-08-06,周四,07:04,07-10 早高峰,内分泌科病区,住院,血清,生化,4,07:28,07:31,08:01,正常,,30,08:07,08:39,95,120,否,前处理-A线,BIO-01,OP-103
S0806-00873,2026-08-06,周四,12:06,12-14,急诊采血,急诊,血清,生化,7,12:29,12:32,12:41,正常,,9,12:44,13:08,62,60,是,前处理-B线,COAG-01,OP-107
S0806-00874,2026-08-06,周四,18:34,17-20,门诊采血中心,门诊,血清,血液,5,18:42,18:46,19:04,报错,离心异常,18,19:10,19:58,84,120,否,前处理-B线,HEM-02,OP-104
S0806-00875,2026-08-06,周四,09:56,07-10 早高峰,体检中心,体检,血清,免疫,5,10:11,10:17,10:44,正常,,27,10:52,11:30,94,240,否,前处理-B线,IMM-01,OP-107
S0806-00876,2026-08-06,周四,08:35,07-10 早高峰,儿科门诊采血窗口,门诊,血清,微生物,6,08:52,08:53,09:17,正常,,24,09:24,14:13,338,120,是,前处理-B线,COAG-01,OP-103
